iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
2140,0.0001838,6.779e-10,2.0520900000000005e-09,1.27449e-11,1.63216e-11,3.5760400000000006e-11
2150,0.0001837,4.436e-10,4.4089600000000005e-09,1.26025e-11,1.6e-11,3.54025e-11
2160,0.0001821,2.062e-09,2.23729e-09,1.2040899999999999e-11,1.56816e-11,3.52836e-11
2170,0.000182,1.193e-09,5.1984100000000005e-09,1.2040899999999999e-11,1.56816e-11,3.50464e-11
2180,0.0001812,7.238e-10,1.95364e-09,1.2320099999999999e-11,1.5602500000000002e-11,3.481e-11
2190,0.0001795,4.812e-10,2.0976400000000002e-09,1.21104e-11,1.521e-11,3.46921e-11
2200,0.000179,4.432e-10,1.7056900000000001e-09,1.21801e-11,1.521e-11,3.46921e-11
2210,0.0001784,1.239e-09,6.7897599999999995e-09,1.3032100000000001e-11,1.5288099999999998e-11,3.46921e-11
2220,0.0001799,1.692e-09,7.90321e-09,1.2040899999999999e-11,1.4899600000000003e-11,3.39889e-11
2230,0.000176,5.556e-10,1.13569e-09,1.24609e-11,1.50544e-11,3.39889e-11
2240,0.0001755,3.866e-10,2.3912100000000005e-09,1.25316e-11,1.4668899999999998e-11,3.3756100000000006e-11
2250,0.0001753,1.113e-09,2.1252100000000004e-09,1.2040899999999999e-11,1.4592399999999997e-11,3.3872400000000004e-11
2260,0.0001733,6.897e-10,1.8147599999999998e-09,1.18336e-11,1.4364100000000001e-11,3.34084e-11
2270,0.0001727,4.899e-10,3.05809e-09,1.19025e-11,1.4212899999999999e-11,3.30625e-11
2280,0.0001713,7.85e-10,2.1529600000000004e-09,1.2040899999999999e-11,1.41376e-11,3.2947600000000004e-11
2290,0.0001717,3.851e-10,2.33289e-09,1.19716e-11,1.39876e-11,3.2832900000000005e-11
2300,0.0001703,7.589e-10,5.535360000000001e-09,1.19716e-11,1.41376e-11,3.2604100000000004e-11
2310,0.0001684,1.91e-09,2.14369e-09,1.18336e-11,1.3764100000000001e-11,3.2489999999999996e-11
2320,0.0001677,6.448e-10,2.14369e-09,1.21104e-11,1.38384e-11,3.2262399999999996e-11
2330,0.0001673,5.091e-10,4.94209e-09,1.19716e-11,1.3616099999999998e-11,3.21489e-11
2340,0.0001682,1.288e-09,4.8024900000000004e-09,1.2040899999999999e-11,1.3616099999999998e-11,3.18096e-11
2350,0.0001664,1.484e-09,3.5640900000000003e-09,1.2040899999999999e-11,1.3322500000000001e-11,3.18096e-11
2360,0.0001654,1.027e-09,3.29476e-09,1.28164e-11,1.34689e-11,3.15844e-11
2370,0.000164,7.119e-10,1.45924e-09,1.156e-11,1.3032100000000001e-11,3.1359999999999996e-11
2380,0.0001656,1.796e-09,3.39889e-09,1.19025e-11,1.3032100000000001e-11,3.12481e-11
2390,0.0001623,8.674e-10,3.4692100000000003e-09,1.1764900000000001e-11,1.28164e-11,3.10249e-11
2400,0.0001631,2.112e-09,4.34281e-09,1.1696399999999999e-11,1.2673599999999999e-11,3.08025e-11
2410,0.000161,9.102e-10,1.9184400000000003e-09,1.16281e-11,1.25316e-11,3.0691600000000005e-11
2420,0.0001591,1.112e-09,1.19716e-09,1.1696399999999999e-11,1.25316e-11,3.05809e-11
2430,0.0001584,1.809e-09,3.43396e-09,1.156e-11,1.2390400000000002e-11,3.04704e-11
2440,0.0001586,1.665e-09,4.596839999999999e-09,1.1696399999999999e-11,1.225e-11,3.025e-11
2450,0.0001571,4.267e-10,4.1990400000000004e-09,1.21104e-11,1.21801e-11,3.0030400000000003e-11
2460,0.0001571,3.922e-10,2.27529e-09,1.18336e-11,1.21801e-11,3.0030400000000003e-11
2470,0.0001561,9.212e-10,3.52836e-09,1.1424399999999998e-11,1.1764900000000001e-11,2.970250000000001e-11
2480,0.0001551,8.776e-10,5.520490000000001e-09,1.156e-11,1.1764900000000001e-11,2.9484899999999996e-11
2490,0.0001546,5.455e-10,2.5e-09,1.156e-11,1.156e-11,2.9376399999999996e-11
2500,0.0001538,1.621e-09,3.969e-09,1.1424399999999998e-11,1.1492100000000001e-11,2.9376399999999996e-11
2510,0.0001524,1.51e-09,2.401e-09,1.12896e-11,1.1424399999999998e-11,2.90521e-11
2520,0.0001523,5.207e-10,1.3104399999999999e-09,1.1696399999999999e-11,1.1492100000000001e-11,2.90521e-11
2530,0.0001517,4.618e-10,3.81924e-09,1.1222500000000002e-11,1.1222500000000002e-11,2.8944400000000003e-11
